id,title,authors,language_code,original_publication_year,average_rating,ratings_count,isbn,image_url
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,eng,2008,4.34,4780653,439023483,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",eng,1997,4.44,4602479,439554934,https://images.gr-assets.com/books/1474154022m/3.jpg
3,"Twilight (Twilight, #1)",Stephenie Meyer,en-US,2005,3.57,3866839,316015849,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,To Kill a Mockingbird,Harper Lee,eng,1960,4.25,3198671,61120081,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,The Great Gatsby,F. Scott Fitzgerald,eng,1925,3.89,2683664,743273567,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,The Fault in Our Stars,John Green,eng,2012,4.26,2346404,525478817,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,The Hobbit,J.R.R. Tolkien,en-US,1937,4.25,2071616,618260307,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,The Catcher in the Rye,J.D. Salinger,eng,1951,3.79,2044241,316769177,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,en-CA,2000,3.85,2001311,1416524797,https://images.gr-assets.com/books/1303390735m/960.jpg
10,Pride and Prejudice,Jane Austen,eng,1813,4.24,2035490,679783261,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,The Kite Runner,Khaled Hosseini,eng,2003,4.26,1813044,1594480001,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,"Divergent (Divergent, #1)",Veronica Roth,eng,2011,4.24,1903563,62024035,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,1984,"George Orwell, Erich Fromm, Celâl Üster",eng,1949,4.14,1956832,451524934,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,Animal Farm,George Orwell,eng,1945,3.87,1881700,452284244,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",eng,1947,4.1,1972666,553296981,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",eng,2005,4.11,1808403,307269752,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,eng,2009,4.3,1831039,439023491,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",eng,1999,4.53,1832823,043965548X,https://images.gr-assets.com/books/1499277281m/5.jpg
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,eng,1954,4.34,1766803,618346252,https://images.gr-assets.com/books/1298411339m/34.jpg
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,eng,2010,4.03,1719760,439023513,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",eng,2003,4.46,1735368,439358078,https://images.gr-assets.com/books/1387141547m/2.jpg
22,The Lovely Bones,Alice Sebold,eng,2002,3.77,1605173,316166685,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",eng,1998,4.37,1779331,439064864,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",eng,2000,4.53,1753043,439139600,https://images.gr-assets.com/books/1361482611m/6.jpg
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",eng,2007,4.61,1746574,545010225,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,eng,2003,3.79,1447148,307277674,https://images.gr-assets.com/books/1303252999m/968.jpg
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",eng,2005,4.54,1678823,439785960,https://images.gr-assets.com/books/1361039191m/1.jpg
